Delay,FPS,Latency (Regs),Latency (Coils),Detected,Blue,Green,Red,Prediction,Label
0.0,29.877,0.000367,0.000336,1.0,211.0,130.0,255.0,pink_duck,pink_duck
0.0,29.933,6.9e-05,9.4e-05,1.0,211.0,130.0,255.0,pink_duck,pink_duck
0.0,30.092,0.000121,0.000146,1.0,211.0,130.0,255.0,pink_duck,pink_duck
0.0,30.259,6.8e-05,9.3e-05,1.0,211.0,130.0,255.0,pink_duck,pink_duck
0.104,29.941,0.000118,0.000144,1.0,211.0,130.0,255.0,pink_duck,pink_duck
0.07,30.016,0.000144,0.000172,1.0,211.0,130.0,255.0,pink_duck,pink_duck
0.0,31.98,6.8e-05,9.4e-05,1.0,211.0,130.0,255.0,pink_duck,pink_duck
0.0,29.722,6.9e-05,9.3e-05,1.0,211.0,130.0,255.0,pink_duck,pink_duck
0.0,29.705,0.000119,0.000142,1.0,211.0,130.0,255.0,pink_duck,pink_duck
0.037,29.844,0.000118,0.000148,1.0,211.0,130.0,255.0,pink_duck,pink_duck
