Delay,FPS,Latency (Regs),Latency (Coils),Detected,Area,Points,Prediction,Label
0.038,29.428,0.000376,0.000428,1.0,18480.0,10.0,cock,cock
0.0,29.184,6.7e-05,0.00011,1.0,18816.0,10.0,cock,cock
0.066,28.324,8.8e-05,0.000169,1.0,18370.0,11.0,cock,cock
0.064,29.673,0.000127,0.000195,1.0,18592.0,10.0,cock,cock
0.04,29.633,0.000358,0.000342,1.0,17710.0,11.0,chick,cock
0.0,29.589,0.000149,0.00017,1.0,18924.0,9.0,cock,cock
0.0,29.532,0.000221,0.000164,1.0,19210.0,10.0,cock,cock
0.0,28.714,6.4e-05,9.2e-05,1.0,18700.0,10.0,cock,cock
0.04,30.019,8.7e-05,0.000142,1.0,19210.0,10.0,cock,cock
0.0,29.101,0.000202,0.00017,1.0,19210.0,11.0,cock,cock
